row,source,tag,type,id,historical_item,context,classification,current_evidence,rationale
149,h13_overlay,input,checkbox,purgeOldBackupAck,#purgeOldBackupAck,PURGE,PASS-ROUTE,HTML L291 / L469,PURGE는 분리된 destructive secondary surface에 acknowledgement·Preview·sanitized NEW ROOT 의미가 보존됨.
150,h13_overlay,button,button,btnPurgeInspect,PURGE Preview,PURGE,PASS-ROUTE,HTML L291 / L469,PURGE는 분리된 destructive secondary surface에 acknowledgement·Preview·sanitized NEW ROOT 의미가 보존됨.
151,h13_overlay,button,button,btnPurgeApply,확인하고 sanitized NEW ROOT 생성,PURGE,PASS-ROUTE,HTML L291 / L469,PURGE는 분리된 destructive secondary surface에 acknowledgement·Preview·sanitized NEW ROOT 의미가 보존됨.
152,h13_overlay,input,file,replicaTransferFile,#replicaTransferFile,Replica Transfer / Conflict,PASS-ROUTE,HTML L175 / L384,Replica Transfer/Conflict가 Data Safety secondary route로 명명되어 Transfer/Merge 진입·적용 기능을 보존함.
153,h13_overlay,button,button,btnReplicaTransferApply,검증된 Transfer / Merge 적용,Replica Transfer / Conflict,PASS-ROUTE,HTML L175 / L384,Replica Transfer/Conflict가 Data Safety secondary route로 명명되어 Transfer/Merge 진입·적용 기능을 보존함.
154,h13_overlay,button,button,btnReplicaKeepLocal,local 유지 · 저장 안 함,Replica Transfer / Conflict,PASS-SUCCESSOR,HTML L257-L268 / L434-L447,“Current Local 유지” 분기가 직접 존재함. legacy “저장 안 함”은 현대 conflict provenance를 보존하는 새 forward resolution revision 방식으로 안전하게 successor화됨.
155,h13_overlay,button,button,btnReplicaUseIncoming,incoming 선택 · 새 revision 생성,Replica Transfer / Conflict,PASS-EXPLICIT,HTML L257-L268 / L434-L447,Incoming Replica 선택과 새 forward resolution revision 의미가 직접 명시됨.
156,h13_overlay,select,,era,#era,세부 설정,PASS-EXPLICIT,HTML L126 / L359,Era 축과 late_teens/year-timeslip 선택지가 직접 보존됨.
157,h13_overlay,input,number,year_timeslip,#year_timeslip,세부 설정,PASS-EXPLICIT,HTML L126 / L359,연도 지정 시 조건부 number input이 모바일·데스크톱에 직접 존재함.
158,h13_overlay,select,,scene,#scene,세부 설정,PASS-EXPLICIT,HTML L127 / L360,Scene 축이 직접 보존됨.
159,h13_overlay,select,,activity,#activity,세부 설정,PASS-EXPLICIT,HTML L128 / L361,Activity 축이 직접 보존되며 random-recommend도 별도 항목으로 유지됨.
160,h13_overlay,select,,relationship,#relationship,세부 설정,PASS-EXPLICIT,HTML L129 / L362,Relationship 축이 직접 보존됨.
161,h13_overlay,select,,state,#state,세부 설정,PASS-EXPLICIT,HTML L130 / L363,State 축 및 음주/취기 상태 의미가 직접 보존됨.
162,h13_overlay,select,,language_support,#language_support,세부 설정,PASS-EXPLICIT,HTML L131 / L364,대화 언어/언어 지원 축이 직접 보존됨.
163,h13_overlay,select,,proficiency,#proficiency,세부 설정,PASS-EXPLICIT,HTML L135-L138 / L369,기존 proficiency 의미가 현재 일본어 수준 축으로 직접 보존되고 세션 난이도와 분리됨.
164,h13_overlay,select,,learning_mode,#learning_mode,세부 설정,PASS-EXPLICIT,HTML L141 / L367,Learning mode 축이 직접 보존됨.
165,h13_overlay,select,,immersion,#immersion,세부 설정,PASS-EXPLICIT,HTML L142 / L368,Immersion 축이 직접 보존됨.
166,h13_overlay,select,,support_style,#support_style,세부 설정,PASS-EXPLICIT,HTML L132 / L365,Support style 축이 직접 보존됨.
167,h13_overlay,select,,initiative,#initiative,세부 설정,PASS-EXPLICIT,HTML L133 / L366,Initiative 축이 직접 보존됨.
168,h13_overlay,button,,copyBtn,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,설정/세션 명령 복사 액션이 직접 표시됨.
169,h13_overlay,a,,openChatgpt,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,ChatGPT 열기 액션이 직접 표시됨.
170,h13_overlay,textarea,,fallbackPrompt,#fallbackPrompt,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
171,h13_overlay,button,,manualCopy,텍스트 선택해서 복사하기,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
172,h13_overlay,button,,btnPrevious,직전 설정 복원,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,직전 설정 복원 액션이 직접 표시됨.
173,h13_overlay,button,,btnBackup,컨트롤러 설정 내보내기,처음 사용하시나요?,PASS-EXPLICIT,HTML L274-L275 / L453-L454,H13 Controller Settings Export/Import 기능이 현재 Controller Settings 카드와 Import Safety 경로에 직접 보존됨.
174,h13_overlay,input,file,restoreFile,#restoreFile,처음 사용하시나요?,PASS-EXPLICIT,HTML L274-L275 / L453-L454,H13 Controller Settings Export/Import 기능이 현재 Controller Settings 카드와 Import Safety 경로에 직접 보존됨.
175,h13_overlay,button,,btnReset,기본값,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,기본값 복귀 액션이 직접 표시됨.
